title,vote_average,vote_count,release_date,revenue,runtime,adult,budget,original_language,original_title,popularity,genres,production_companies,production_countries,spoken_languages,keywords
Stage Fright,6.7,275,1950-02-23,1900000,110,False,1450000,en,Stage Fright,9.826,Thriller,Warner Bros. Pictures,United Kingdom,English,"london, england, based on novel or book, lover, black and white, maid, doll, extramarital affair, impersonation, london theater district, stage performance, accused of murder, shooting gallery, stage actress"
American Dreamz,5.005,274,2006-03-04,7314027,107,False,17000000,en,American Dreamz,14.119,"Comedy, Drama","Depth of Field, Universal Pictures",United States of America,"English, Mandarin","usa president, musical, image campaign, singing competition, sleeper agent"
The French Minister,6.062,274,2013-11-06,5586646,113,False,5112027,fr,Quai d’Orsay,6.256,Comedy,"Site 4 View Productions, Little Bear, Pathé, France 2 Cinéma, Alvy Développement",France,"French, Hungarian",
Blood and Chocolate,5.427,274,2007-01-26,6340723,98,False,15000000,en,Blood and Chocolate,9.834,"Drama, Fantasy, Horror, Romance","Daniel Bobker Productions, Berrick Filmproduktion, Blood & Chocolate Productions Ltd, Lakeshore Entertainment, Metro-Goldwyn-Mayer","Romania, Germany, United Kingdom, United States of America","English, Polish, Portuguese","based on novel or book, chocolate, werewolf, woman director, interspecies romance, animal horror, based on young adult novel"
City Slickers II: The Legend of Curly's Gold,5.208,274,1994-06-10,43,116,False,40,en,City Slickers II: The Legend of Curly's Gold,9.416,"Action, Comedy, Drama, Western",Castle Rock Entertainment,United States of America,English,"gold, birthday, nevada, treasure hunt, friendship bracelet, cowboy"
Forbidden Empire,5.883,274,2014-01-30,34592118,128,False,26000000,ru,Вий,15.448,"Thriller, Adventure, Mystery, Fantasy, Horror, Science Fiction","Russian Film Group, Marinsgroup","United Kingdom, Germany, Russia, Ukraine, Czech Republic","English, Russian","monster, mystic, church, demon, witchcraft, dark fantasy"
Martian Child,6.661,273,2007-11-02,9411042,106,False,27000000,en,Martian Child,8.388,"Comedy, Drama","New Line Cinema, Hannah Rachel Production Services, Meradin Zweite Productions",United States of America,English,"underdog, adoption, adoptive father, education, childhood trauma, alienation, alien"
A Movie of Eggs,7.742,273,2006-04-21,7978917,90,False,634793,es,Una película de huevos,13.875,"Animation, Comedy, Family","Huevocartoon Producciones, Fondo de Inversión y Estímulos al Cine (FIDECINE), Videocine",Mexico,Spanish,
Roger & Me,7.128,273,1989-09-01,6706368,91,False,160000,en,Roger & Me,6.411,"Documentary, History, Comedy","Dog Eat Dog Films, Warner Bros. Pictures",United States of America,English,"capitalism, economics, unemployment, corporate greed"
Dahmer,5.266,273,2002-06-21,144008,101,False,250000,en,Dahmer,13.039,"Crime, Drama, Thriller","Two Left Shoes Films, Blockbuster Films, DEJ Productions, Peninsula Films",United States of America,English,"rape, necrophilia, gay club, biography, murder, serial killer, male masturbation, drugged drink"
The Twilight Samurai,7.738,273,2002-11-02,7338987,129,False,5000000,ja,たそがれ清兵衛,14.765,"Drama, Romance, History","Shochiku, Sumitomo Corporation, Hakuhodo, Nippan Group Holdings, Eisei Gekijo, Nippon Television Network Corporation",Japan,Japanese,"daughter, samurai, based on novel or book, sword, mission of murder, teacher, sword fight, honor, period drama, historical, widower, jidaigeki, feudal japan, 19th century, factual, bushi, earnest, sincere"
Rudderless,7.222,273,2014-10-17,58293,105,False,5000000,en,Rudderless,10.071,"Music, Drama, Comedy","Amberdale Productions, Unified Pictures, Tee Rob Pictures, Dog Pond Productions",United States of America,English,"parent child relationship, rock band, mourning, grieving father, reflective, sympathetic"
The Train,7.507,273,1964-09-24,6800000,133,False,5800000,en,The Train,15.057,"War, Thriller","Les Productions Artistes Associés, Les Films Ariane, Dear Film, United Artists","France, Italy, United States of America","German, English","france, paris, france, nazi, world war ii, painting, artwork, hijacking of train, train crash, french resistance, black and white, art thief, art theft"
Let's Go to Prison,5.707,273,2006-11-17,4630045,84,False,4000000,en,Let's Go to Prison,12.524,"Comedy, Crime",Universal Pictures,United States of America,English,"loss of loved one, vulgar, condom, parole board, alcohol abuse"
A Wednesday!,6.932,273,2008-09-05,3500000,103,False,1400000,hi,A Wednesday!,8.117,"Drama, Thriller",UTV Motion Pictures,India,Hindi,"police, bomb, al qaeda, bomb threat"
My Favorite Martian,5.585,272,1999-02-11,36850101,94,False,65000000,en,My Favorite Martian,12.304,"Comedy, Drama, Family, Science Fiction",Walt Disney Pictures,United States of America,English,"alien, martian, fish out of water"
King Ralph,5.375,272,1991-02-15,52487045,97,False,23000000,en,King Ralph,9.793,Comedy,Universal Pictures,United States of America,English,"love of one's life, kingdom, love at first sight, kiss, lovers, royal family, fish out of water, king, double"
Term Life,5.982,272,2016-04-29,21256,93,False,16500000,en,Term Life,9.594,"Thriller, Drama, Action, Mystery","WWE Studios, PenLife Media, PalmStar Media",United States of America,English,"gun, based on comic, gun battle, young daughter, cop parent, dead widow"
The Girlfriend Experience,4.996,272,2009-05-22,1007962,77,False,1700000,en,The Girlfriend Experience,13.234,Drama,"Magnolia Pictures, 2929 Productions, Extension 765",United States of America,"English, French","new york city, las vegas, escort girl, economic crisis, personal trainer"
Veronica Guerin,6.619,272,2003-07-11,9439660,98,False,17000000,en,Veronica Guerin,10.789,"Drama, Crime, Thriller","Jerry Bruckheimer Films, Touchstone Pictures","Ireland, United Kingdom, United States of America",English,"police, journalism, dublin, ireland, based on true story, drug scene, murder, drug lord, 1990s"
What's the Worst That Could Happen?,5.399,272,2001-05-31,38400000,94,False,60000000,en,What's the Worst That Could Happen?,21.576,"Action, Comedy, Crime",Metro-Goldwyn-Mayer,United States of America,English,"businessman, master thief, thief, ring"
My Way,6.45,272,2012-03-14,29193330,148,False,27563396,fr,Cloclo,8.813,Drama,"LGM Productions, StudioCanal",France,"French, Italian, Arabic, English","musical, biography"
Split Second,5.908,271,1992-05-01,5430822,90,False,7000000,en,Split Second,11.513,"Action, Crime, Horror","Challenge Film Corporation, Entertainment, Muse Productions, XYZ Funding N.V.",United Kingdom,English,"london, england, pollution, dystopia, coffee, flooding, strip club, futuristic, serial killer, cyberpunk, creature, police detective"
Birth of the Dragon,5.7,271,2017-08-25,7125027,103,False,31000000,en,Birth of the Dragon,22.258,"Action, Drama","Groundswell Productions, Kylin Pictures, WWE Studios, Good Universe","China, United States of America","Mandarin, English","kung fu, biography"
Killing Me Softly,5.452,271,2002-05-10,7775138,100,False,25000000,en,Killing Me Softly,21.929,Thriller,"Noelle Entertainment Limited, The Montecito Picture Company","United Kingdom, United States of America",English,"bondage, obsession, mountaineer, love"
The Edge of Heaven,7.181,271,2007-09-27,17804565,122,False,3800000,de,Auf der anderen Seite,11.328,Drama,"Filmstiftung Nordrhein-Westfalen, Anka Film, Dorje Film, FilmFörderung Hamburg, NDR, Kulturelle Filmförderung Schleswig-Holstein, FFA, Die Beauftragte der Bundesregierung für Kultur und Medien, nordmedia","Germany, Turkey","English, German, Turkish","prison, dying and death, mother, funeral, germany, loss of loved one, release from prison, homeland, women's prison, turkey, stepmother, bremen"
Made in Dagenham,6.676,271,2010-10-01,12629471,113,False,7200000,en,Made in Dagenham,13.604,"Comedy, Drama, History","Audley Films LLP, BBC Film, BMS Finance, HanWay Films, Lipsync Productions, Number 9 Films, UK Film Council",United Kingdom,English,"strike, based on true story, essex, labor strike, machinist, aftercreditsstinger, duringcreditsstinger, discrimination, government minister, 1960s, women's rights, sexual discrimination"
Rock Dog,6.185,271,2016-07-08,9420546,90,False,60000000,en,Rock Dog,15.142,"Adventure, Animation, Comedy, Family, Music","Dream Factory Group, Reel FX Creative Studios, Mandoo Pictures, Eracme Entertainment, Summit Entertainment, Huayi Brothers Pictures, Tencent Pictures","China, United States of America",English,"naivety, rock 'n' roll, guitar, musician, village, anthropomorphism, dog, mastiff"
Catch-22,6.745,271,1970-06-24,24911670,121,False,18000000,en,Catch-22,8.979,"War, Comedy","Paramount, Filmways Productions",United States of America,"English, Italian","island, based on novel or book, world war ii, bomber, american"
The Miracle Worker,7.847,271,1962-05-23,2500000,106,False,500000,en,The Miracle Worker,9.994,Drama,Playfilm Productions,United States of America,English,"blindness and impaired vision, deaf-mute, education, biography, historical figure, teacher, tutor, teacher student relationship, tantrum, railway station, sign languages, institution, 19th century, female teacher, blind child, deaf girl, deafness"
Adam's Rib,7.119,270,1949-11-18,9470000,100,False,1728000,en,Adam's Rib,10.633,"Comedy, Drama, Romance",Metro-Goldwyn-Mayer,United States of America,English,"husband wife relationship, marriage, lawyer, singing, courtroom, prosecutor, subway station, grapefruit, afi"
Dear Evan Hansen,6.343,270,2021-09-24,19200000,137,False,27500000,en,Dear Evan Hansen,14.564,Drama,"Universal Pictures, Marc Platt Productions, Perfect World Pictures, dentsu","Japan, United States of America",English,"high school, suicide, letter, musical, based on play or musical, grief, teenage boy, guilt, mental illness, mental health, emotional vulnerability, social anxiety, mother son relationship, gaslighting"
Thunderbirds,4.93,270,2004-07-23,28283637,95,False,57000000,en,Thunderbirds,14.012,"Action, Adventure, Comedy, Family, Fantasy, Science Fiction","Working Title Films, Tracy Films, StudioCanal, Universal Pictures","France, United Kingdom",English,"secret organization, golden gate bridge, locker, oil rig , teenage hero, soaked clothes, thunderbirds"
Godzilla: Final Wars,6.97,269,2004-12-04,12000000,125,False,19500000,ja,ゴジラ ファイナルウォーズ,18.451,"Action, Adventure, Science Fiction, Fantasy, Thriller",TOHO,Japan,"Japanese, English, Cantonese","monster, giant monster, scientist, gojira, rodan, kaiju, ghidora, godzilla"
Nobody's Fool,6.2,269,2018-10-31,29152618,110,False,19000000,en,Nobody's Fool,19.26,"Comedy, Romance","Paramount Players, BET Films, Tyler Perry Studios",United States of America,English,"depression, coffee shop, relationship problems, parole, ex-con, advertising agency, alcoholics anonymous, sister sister relationship, cat-fished"
The Powerpuff Girls Movie,6.684,269,2002-07-03,16426471,74,False,11000000,en,The Powerpuff Girls Movie,15.775,"Animation, Action, Family","Cartoon Network Studios, Village Roadshow Pictures, Warner Bros. Pictures","United Kingdom, United States of America",English,"martial arts, experiment, professor, superhero, cartoon, kindergarten, sister, prequel, female protagonist, monkey, urban setting, super power, heroine, super villain, good versus evil, based on tv series"
All the King's Men,5.738,269,2006-09-10,9450897,125,False,55000000,en,All the King's Men,11.964,"Drama, Thriller","Relativity Media, Phoenix Pictures, VIP 4 Medienfonds, Rising Star, Columbia Pictures",United States of America,English,"journalist, governor, corruption, based on novel or book, politics, blackmail, bodyguard, manipulation, louisiana, scandal, tragedy, mistress, aristocrat"
Kickboxer: Retaliation,5.4,269,2018-01-26,4537,110,False,13000000,en,Kickboxer: Retaliation,20.352,"Action, Drama","Our House Films, Head Gear Films, Metrol Technology",United States of America,English,
Alien Nation,6.039,269,1988-10-07,32155047,91,False,16000000,en,Alien Nation,8.887,"Science Fiction, Crime, Thriller","American Entertainment Partners II L.P., 20th Century Fox",United States of America,English,"delinquency, cop, alien invasion"
Top Hat,7.301,269,1935-08-29,3202000,101,False,609000,en,Top Hat,12.266,"Comedy, Music, Romance",RKO Radio Pictures,United States of America,"English, Italian","dancing, dance, london, england, venice, italy, mistaken identity, musical, tap dancing, stage show, based on play or musical, fashion designer, singing, black and white, fashion, valet, rapier, song and dance"
Kahaani,7.132,269,2012-03-08,16000000,122,False,1200000,hi,Kahaani,7.815,"Mystery, Thriller","Viacom18 Studios, Pen Studios, Bound Script Production",India,"Bengali, Hindi, English","investigation, police corruption, india, missing husband, nerve gas"
Hud,7.271,268,1963-05-28,10000000,112,False,2500000,en,Hud,14.327,"Western, Drama",Paramount,United States of America,English,"based on novel or book, rodeo, texas, ranch, alcoholism, rebellious youth, housekeeper, neo-western, hero worship"
The Hollars,6.306,268,2016-08-25,1016985,88,False,3800000,en,The Hollars,10.804,"Comedy, Drama, Romance","Sunday Night, Sycamore Pictures, Groundswell Productions, Fancy Film Post Services",United States of America,English,"comedian, family relationships"
We Die Young,6.8,268,2019-05-09,143837,93,False,4000000,en,We Die Young,14.05,"Drama, Action, Crime, Thriller","Dream Team Films, Premiere Picture, Signature Pictures, Dog with a Bone Productions, Zone Vision","Bulgaria, United States of America",English,
